product_name,brand,price,ram,storage,screen_size,resolution,chipset,os,rear_camera,front_camera,battery,dimensions,weight,rating_value,rating_count,original_price,stock,image_url
Xiaomi Redmi Note 15 Pro 5G,Xiaomi,9349000,12,256.0,6.83,1280x2772,Dimensity 7400-Ultra 8 nhân,Xiaomi HyperOS 2.2,Chính 200MP & Phụ 8 MP,20 MP,6580.0,163.61x78.09x7.96,204,5,1,11160000.0,76,https://www.duchuymobile.com/images/detailed/89/redmi-note-15-pro-5g-xam.png
Nubia V80 Max,Nubia,2669000,8,128.0,6.9,729x1640,Unisoc T7250,Android 16,50 MP + 2 MP,16MP,6000.0,171.8x78.4x8.5,191,5,1,3390000.0,95,https://www.duchuymobile.com/images/detailed/89/nubia-v80-max-den.jpg
Nubia V80 Design,Nubia,2939000,8,256.0,6.75,900x1940,Unisoc T7280 (12 nm),Android 16,50 MP + 2 MP,16MP,5000.0,166x79x7.7,191,5,1,3320000.0,102,https://www.duchuymobile.com/images/detailed/89/nubia-v80-design-den.jpg
Motorola Moto G67 5G,Motorola,7099000,4,128.0,6.78,1272x2772,Dimensity 6300 (6 nm),Android 16,50 + 8 MP,32 MP,5200.0,164.2x77.4x7.3,182,5,1,8020000.0,112,https://www.duchuymobile.com/images/detailed/89/motorola-moto-g67.jpg
Xiaomi POCO M8 5G,Xiaomi,6829000,8,512.0,6.77,1080x2392,Snapdragon 6 Gen 3 (4 nm),Xiaomi HyperOS 2,50 + 2 MP,20 MP,5520.0,164x75.42x7.35,178,5,1,7530000.0,51,https://www.duchuymobile.com/images/detailed/89/poco-m8-bac.jpg
Xiaomi POCO X7 Pro 5G,Xiaomi,9349000,12,512.0,6.67,2712x1220,Dimensity 8400-Ultra 4nm,Xiaomi HyperOS 2,2 Camera 50 + 8 MP,20MP,6000.0,160.75x8.29x8.43,195,5,1,12820000.0,95,https://www.duchuymobile.com/images/detailed/89/poco-x7-pro-den.jpg
Xiaomi POCO C85 5G,Xiaomi,3519000,4,128.0,6.9,720x1600,Dimensity 6300 (6 nm),"Android 15, HyperOS 2",50 MP + Ống kính phụ,8MP,6000.0,173.2x81.1x8,211,5,1,4470000.0,3,https://www.duchuymobile.com/images/detailed/88/poco-c85-5g.jpg
Motorola Moto G77 5G,Motorola,8899000,8,128.0,6.78,1272x2772,Dimensity 6400 (6 nm),Android 16,108 + 8 MP,32MP,5200.0,164.2x77.4x7.3,182,5,1,11640000.0,93,https://www.duchuymobile.com/images/detailed/89/motorola-moto-g77.jpg
Xiaomi POCO M8 Pro 5G,Xiaomi,10249000,12,512.0,6.83,1280x2772,Snapdragon 7s Gen 4,Xiaomi HyperOS 2,50 + 8 MP,32 MP,6500.0,163.34x78.31x8.31,205.9,5,1,11200000.0,100,https://www.duchuymobile.com/images/detailed/89/poco-m8-pro-5g-den.jpg
Realme 16 Pro Plus 5G,Realme,11649000,8,128.0,6.8,1280x2800,Snapdragon 7 Gen 4 (4 nm),"Android 16, Realme UI 7.0",200 + 50 + 8 MP,50 MP,7000.0,162.5x76.3x8.1,198,5,1,16490000.0,22,https://www.duchuymobile.com/images/detailed/89/realme-16-pro-plus-vang.jpg
Xiaomi 17 Ultra 5G,Xiaomi,31829000,16,1024.0,6.9,1200x2608,Snapdragon 8 Elite Gen 5 (3 nm),"Android 16, HyperOS 3",50 + 200 + 50 MP,50 MP,6800.0,162.9x77.6x8.5,230,5,1,36450000.0,108,https://www.duchuymobile.com/images/detailed/88/xiaomi-17-ultra-5g-tim.jpg
Huawei Mate 80 Pro Max 5G,Huawei,29669000,16,512.0,6.9,1320x2848,Kirin 9030 Pro,HarmonyOS 6.0,50 + 50  50 + 40 MP,"13 MP, f/2.0 + TOF 3D",6000.0,164.4x79x8.3,239,5,1,33710000.0,14,https://www.duchuymobile.com/images/detailed/88/huawei-mate-80-pro-max.jpg
Realme 15 5G,Realme,9349000,12,256.0,6.77,1080x2392,Dimensity 7300+ 5G 8 nhân,Android 15,"Chính 50 MP & Phụ 50 MP, 8 MP",50 MP,7000.0,163.34x75.88x7.66,185,5,1,10630000.0,42,https://www.duchuymobile.com/images/detailed/85/realme-15-5g-hong.jpg
vivo X200T 5G,Vivo,17079000,12,256.0,6.67,1260x2800,Dimensity 9400+ (3 nm),"Android 16, OriginOS 6",50 + 50 + 50 MP,"32 MP, f/2.0",6200.0,160x74.3x8,203,5,1,20020000.0,28,https://www.duchuymobile.com/images/detailed/89/vivo-x200t.jpg
Realme 15T 5G,Realme,7999000,12,256.0,6.57,1080x2372,Dimensity 6400 Max,Android 15,"Chính 50 MP & Phụ 50 MP, 2 MP",50 MP,7000.0,158.36x75.19x7.79,181,5,1,9940000.0,35,https://www.duchuymobile.com/images/detailed/85/realme-15t-bac.jpg
Realme 16 5G,Realme,9399000,8,256.0,6.57,2372x1080,Dimensity 6400 Turbo 8 nhân,Android 16,Chính 50 MP & Phụ 2 MP,50MP,7000.0,158.3x75.13x8.1,183,5,1,11390000.0,12,https://www.duchuymobile.com/images/detailed/89/realme-16-trang.jpg
Tecno Spark 40C,Tecno,2899000,8,256.0,6.67,720x1600,MediaTek Helio G81,Android 15,13 MP,8 MP,6000.0,165.66x77x8.25,193,5,1,3390000.0,31,https://www.duchuymobile.com/images/detailed/85/tecno-spark-40c-trang.jpg
Xiaomi 17 Pro Max 5G,Xiaomi,25899000,16,1024.0,6.9,1200x2608,Snapdragon 8 Elite Gen 5 (3 nm),"Android 16, HyperOS 3",Leica lens 50+50+50 MP,"50 MP, f/2.2, 21mm (wide), PDAF",6500.0,162.9x77.6x8,219,5,1,32980000.0,70,https://www.duchuymobile.com/images/detailed/85/xiaomi-17-pro-max-1tb.png
iPhone 17 Pro 1TB,Apple,42999000,12,1024.0,6.3,1206x2622,Apple A19 Pro,iOS 26,48 + 48 + 48 MP,"18 MP multi-aspect, f/1.9, (wide), PDAF, OIS",6500.0,150x71.9x8.75,204,5,3,48350000.0,58,https://www.duchuymobile.com/images/detailed/84/iphone-17-pro-xanh-dam.jpg
iPhone 17 Pro Max 1TB,Apple,48599000,12,1024.0,6.9,1320x2868,Apple A19 Pro,iOS 26,48 + 48 + 48 MP,Camera 18MP Center Stage Khẩu độ ƒ/1.9,6500.0,163.4x78x8.75,231,5,3,56790000.0,114,https://www.duchuymobile.com/images/detailed/84/iphone-17-pro-max-xanh-dam.jpg
iPhone 17 Pro 512GB,Apple,38699000,12,512.0,6.3,1206x2622,Apple A19 Pro,iOS 26,48 + 48 + 48 MP,"18 MP multi-aspect, f/1.9, (wide), PDAF, OIS",6500.0,150x71.9x8.75,204,5,3,46100000.0,85,https://www.duchuymobile.com/images/detailed/84/iphone-17-pro-bac.jpg
iPhone 17 Pro Max 512GB,Apple,41999000,12,512.0,6.9,1320x2868,Apple A19 Pro,iOS 26,48 + 48 + 48 MP,Camera 18MP Center Stage Khẩu độ ƒ/1.9,6500.0,163.4x78x8.75,231,5,3,51240000.0,27,https://www.duchuymobile.com/images/detailed/84/iphone-17-pro-max-bac.jpg
Motorola Edge 70 5G,Motorola,24529000,12,512.0,6.7,1220x2712,Snapdragon 7 Gen 4 (4 nm),Android 16,50 + 50 MP,50 MP,4800.0,159.9x74x6,159,5,1,32830000.0,65,https://www.duchuymobile.com/images/detailed/87/motorola-edge-70.jpg
Xiaomi Poco M7 4G,Xiaomi,4239000,8,256.0,6.9,1080x2340,Snapdragon 685 (6 nm),Xiaomi HyperOS 2,Camera chính 50MP + Ống kính 5P,"8 MP, f/2.0",7000.0,169.48x80.45x8.40,214,5,1,4840000.0,41,https://www.duchuymobile.com/images/detailed/86/xiaomi-poco-m7-4g-den.jpg
iPhone 17 Pro 256GB,Apple,32399000,12,256.0,6.3,1206x2622,Apple A19 Pro,iOS 26,48 + 48 + 48 MP,"18 MP multi-aspect, f/1.9, (wide), PDAF, OIS",6500.0,150x71.9x8.75,204,5,3,40150000.0,44,https://www.duchuymobile.com/images/detailed/84/iphone-17-pro-cam.jpg
Xiaomi Redmi 15C,Xiaomi,2699000,4,128.0,6.9,720x1600,Helio G81 Ultra (12 nm),Xiaomi HyperOS 2,Chính 50 MP & Phụ QVGA,8 MP,6000.0,171.56x79.47x7.99,205,5,4,3420000.0,61,https://www.duchuymobile.com/images/detailed/83/xiaomi-redmi-15c.jpg
Vivo V60 Lite 5G,Vivo,10699000,12,512.0,6.77,1080x2392,Dimensity 7360 Turbo,Android 15,Chính 50 MP & Phụ 8 MP,32MP,6500.0,163.77x76.28x7.59,194,5,1,11760000.0,56,https://www.duchuymobile.com/images/detailed/86/vivo-v60-lite-5g-den.jpg
OPPO Find X9 Pro 5G,OPPO,26999000,16,512.0,6.78,1272x2772,Dimensity 9500 8 nhân,Android 16,"Chính 50 MP & Phụ 200 MP, 50 MP, 2 MP",50 MP,7550.0,161.26x76.46x8.25,224,5,3,34340000.0,116,https://www.duchuymobile.com/images/detailed/86/oppo-find-x9-pro-trang.jpg
OPPO Find X9 5G,OPPO,19999000,16,512.0,6.59,1256x2760,Dimensity 9500 8 nhân,Android 16,"Chính 50 MP & Phụ 50 MP, 50 MP, 2 MP",32 MP,7025.0,156.98x73.93x7.99,203,5,3,22660000.0,5,https://www.duchuymobile.com/images/detailed/86/oppo-find-x9-mau-do.jpg
Google Pixel 10 Pro XL 5G,Google,34799000,16,512.0,6.8,1344x2992,Google Tensor G5 (4 nm),"Android 16, up to 7 major Android upgrades",3 Camera (50 + 48 + 48 MP),"42 MP, f/2.2",5200.0,162.8x76.6x8.5,232,5,1,38420000.0,27,https://www.duchuymobile.com/images/detailed/83/google-pixel-10-pro-xl-jade.jpg
Xiaomi Redmi Note 15,Xiaomi,4039000,8,128.0,6.77,1080x2392,Helio G100-Ultra 8 nhân,Xiaomi HyperOS 2,Chính 108 MP & Phụ 2 MP,20 MP,6000.0,164.03x75.42x7.94,183.7,5,3,5680000.0,27,https://www.duchuymobile.com/images/detailed/89/redmi-note-15-xanh.png
Honor X7d 4G,HONOR,4399000,8,256.0,6.77,720x1610,Snapdragon 685 8 nhân,Android 15,108 + 2 MP,8MP,6500.0,166.89x76.8x8.24,208,5,3,6220000.0,107,https://www.duchuymobile.com/images/detailed/86/honor-x7d-vang.jpg
Honor 500 5G,HONOR,10199000,12,256.0,6.55,1264x2736,Snapdragon 8s Gen 4 (4 nm),"Android 16, MagicOS 10",200 + 12 MP,50 MP,8000.0,155.8x74.2x7.8,198,5,1,13740000.0,43,https://www.duchuymobile.com/images/detailed/87/honor-500-xanh.jpg
Honor 500 Pro 5G,HONOR,13359000,12,256.0,6.55,1264x2736,Snapdragon 8 Elite (3 nm),"Android 16, MagicOS 10",200 + 50 + 12 MP,50 MP,8000.0,155.8x74.2x7.8,201,5,1,15660000.0,83,https://www.duchuymobile.com/images/detailed/87/honor-500-pro-den.jpg
Samsung Galaxy S25 FE 5G,Samsung,10699000,8,128.0,6.7,1080x2340,Exynos 2400 (4 nm),"Android 16, One UI 8",50 + 8 + 12 MP (3 Camera),"12 MP, f/2.2",4900.0,161.3x76.6x7.4,190,5,3,11910000.0,29,https://www.duchuymobile.com/images/detailed/84/galaxy-s25-fe-xanh-navy.jpg
Xiaomi 15T Pro 5G,Xiaomi,15699000,12,1024.0,6.83,1280x2772,Dimensity 9400+ (3 nm),"Android 15, HyperOS 2",50 + 50 + 12 MP Leica lens,"32 MP, (wide)",5500.0,162.7x77.9x7.96,210,5,3,20400000.0,61,https://www.duchuymobile.com/images/detailed/85/xiaomi-15t-pro-vang-mocha_577c-xn.jpg
HONOR X7d 5G,HONOR,5389000,8,256.0,6.77,720x1610,Snapdragon 6s Gen 3,Android 15,50 + 2 MP,8MP,6500.0,166.89x76.8x8.24,208,5,1,6550000.0,74,https://www.duchuymobile.com/images/detailed/87/honor-x7d-5g-bac.jpg
Tecno Spark 40,Tecno,3379000,8,256.0,6.67,720x1600,Helio G81,Android 15,50MP,8 MP,5200.0,165.6x77x7.67,188,5,1,3780000.0,118,https://www.duchuymobile.com/images/detailed/84/tecno-spark-40-den.jpg
HONOR Play 10,HONOR,1599000,3,64.0,6.74,720x1600,Helio G81 (12 nm),Android 15 (Go edition),13MP,5MP,5000.0,167.7x77.7x8.6,189,5,1,1970000.0,91,https://www.duchuymobile.com/images/detailed/87/honor-play-10.jpg
Nothing Phone 3a Lite,Nothing,7629000,8,128.0,6.77,1080x2392,Dimensity 7300 Pro (4 nm),"Android 15, Nothing OS 3.5",50 + 8 + 2 MP,"16 MP, f/2.5",5000.0,164x78x8.3,199,5,1,8360000.0,88,https://www.duchuymobile.com/images/detailed/87/nothing-phone-3a-lite.jpg
Motorola Moto G100,Motorola,4899000,12,256.0,6.72,1080x2400,Snapdragon 7s Gen 2 (4 nm),Android 15,50 + 8 MP,32MP,7000.0,166.2x76.5x8.6,210,5,1,6800000.0,102,https://www.duchuymobile.com/images/detailed/86/motorola-moto-g100.jpg
Xiaomi Redmi K90 Pro Max 5G,Xiaomi,14769000,12,256.0,6.9,1200x2608,Snapdragon 8 Elite Gen 5 (3 nm),"Android 16, HyperOS 3",50 + 50 + 50 MP,"32 MP, f/2.2",7560.0,163.3x77.8x7.9,218,5,1,17110000.0,61,https://www.duchuymobile.com/images/detailed/86/redmi-k90-pro-max-den.jpg
Vivo X300 Pro 5G,Vivo,23699000,16,512.0,6.78,1260x2800,Dimensity 9500 (3 nm),Android 16,50 + 200 + 50 MP,"50 MP, f/2.0",6510.0,161.2x75.5x8,226,5,1,30610000.0,96,https://www.duchuymobile.com/images/detailed/86/vivo-x300-pro-den_yxsj-8f.jpg
Realme P3 Lite 5G,Realme,3139000,4,128.0,6.67,720x1604,Dimensity 6300 6nm,"Android 15, Realme UI 6.0",32MP,8MP,6000.0,165.6x76.22x7.94,197,5,1,3690000.0,0,https://www.duchuymobile.com/images/detailed/85/realme-p3-lite.JPG
Vivo V60e 5G,Vivo,8899000,8,128.0,6.77,1080x2392,Dimensity 7360 Turbo (4 nm),Android 15,200 + 8 MP,50 MP,6500.0,163.5x77x7.5,190,5,1,11050000.0,120,https://www.duchuymobile.com/images/detailed/86/vivo-v60e.jpg
OPPO A6 Pro,OPPO,5599000,8,128.0,6.57,1080x2372,MediaTek Helio G100,Android 15,50 + 2 MP,16 MP,7000.0,158.2x75.02x8,188,5,3,7000000.0,26,https://www.duchuymobile.com/images/detailed/86/oppo-a6-pro-4g-xanh-duong.jpg
Honor X5c Plus,HONOR,2479000,4,64.0,6.74,720x1600,Helio G81 (12 nm),"Android 15, MagicOS 9",Chính 50 MP & Ống kính phụ,"5 MP, f/2.2",5260.0,167x77x7.9,186,5,1,2820000.0,61,https://www.duchuymobile.com/images/detailed/86/honor-x5c-plus-den.jpg
